Division,State,Party,Senate Vote
Forde,QLD,GRN,0.09439636278377524
Forde,QLD,L/NP,0.32047870984841537
Forde,QLD,ON,0.07942138903330377
Forde,QLD,UAPP,0.061245501901179444
Griffith,QLD,ALP,0.25154541131716596
Griffith,QLD,GRN,0.30532479277968916
Griffith,QLD,L/NP,0.29487287068893175
Griffith,QLD,ON,0.024232422403102943
Griffith,QLD,UAPP,0.018386432081153908
Groom,QLD,ALP,0.20146328984394987
Groom,QLD,GRN,0.07611153747761576
Groom,QLD,L/NP,0.4236786902020977
Groom,QLD,ON,0.09809158352519826
Groom,QLD,UAPP,0.04176004093118445
Herbert,QLD,ALP,0.21575449815058617
Herbert,QLD,GRN,0.0928468434580904
Herbert,QLD,L/NP,0.3951998829749441
Herbert,QLD,ON,0.07675589827179069
Herbert,QLD,UAPP,0.03172214908156228
Hinkler,QLD,ALP,0.2534639440581763
Hinkler,QLD,GRN,0.060081598451823995
Hinkler,QLD,L/NP,0.38261494109549415
Hinkler,QLD,ON,0.09985336219537742
Hinkler,QLD,UAPP,0.051792073578261696
Kennedy,QLD,ALP,0.19622029290537576
Kennedy,QLD,GRN,0.06481846882399368
Kennedy,QLD,L/NP,0.35151933701657456
Kennedy,QLD,ON,0.1218319740419188
Kennedy,QLD,UAPP,0.04866044023502587
Leichhardt,QLD,ALP,0.25854369239540115
Leichhardt,QLD,GRN,0.11633357615684287
Leichhardt,QLD,L/NP,0.30542974482416413
Leichhardt,QLD,ON,0.08159925674890993
Leichhardt,QLD,UAPP,0.040551526092969734
Lilley,QLD,ALP,0.33030625351208154
Lilley,QLD,GRN,0.17217227261780524
Lilley,QLD,L/NP,0.309183591554949
Lilley,QLD,ON,0.03466926226218191
Lilley,QLD,UAPP,0.023801878461908968
Longman,QLD,ALP,0.2807636097917428
Longman,QLD,GRN,0.08205151625867739
Longman,QLD,L/NP,0.33971501644135915
Longman,QLD,ON,0.07925648520277677
Longman,QLD,UAPP,0.04984472049689441
Maranoa,QLD,ALP,0.15708816369427434
Maranoa,QLD,GRN,0.04611408409922035
Maranoa,QLD,L/NP,0.46017566248780123
Maranoa,QLD,ON,0.1261273821141699
Maranoa,QLD,UAPP,0.05236629596662627
McPherson,QLD,ALP,0.2082968333081609
McPherson,QLD,GRN,0.13656547349342998
McPherson,QLD,L/NP,0.3697326687811509
McPherson,QLD,ON,0.06537783819161255
McPherson,QLD,UAPP,0.056094245582238335
Moncrieff,QLD,ALP,0.19787318624527928
Moncrieff,QLD,GRN,0.11294971178692109
Moncrieff,QLD,L/NP,0.4024746571258199
Moncrieff,QLD,ON,0.0627807592923872
Moncrieff,QLD,UAPP,0.05232558139534884
Moreton,QLD,ALP,0.3104576565751926
Moreton,QLD,GRN,0.20666423498616088
Moreton,QLD,L/NP,0.30610208766923425
Moreton,QLD,ON,0.028804685991374687
Moreton,QLD,UAPP,0.025221533246078915
Oxley,QLD,ALP,0.3463355617901357
Oxley,QLD,GRN,0.1349902483286574
Oxley,QLD,L/NP,0.285259853359894
Oxley,QLD,ON,0.04781969316131455
Oxley,QLD,UAPP,0.03541890468393112
Petrie,QLD,ALP,0.28548414132196004
Petrie,QLD,GRN,0.11015402380198536
Petrie,QLD,L/NP,0.3669658987205036
Petrie,QLD,ON,0.05075149460823571
Petrie,QLD,UAPP,0.04104818132717487
Rankin,QLD,ALP,0.35667719146809623
Rankin,QLD,GRN,0.10193535197510392
Rankin,QLD,L/NP,0.26806442087090837
Rankin,QLD,ON,0.06375076664470845
Rankin,QLD,UAPP,0.04686186766008677
Ryan,QLD,ALP,0.2168304244562486
Ryan,QLD,GRN,0.28155827773452513
Ryan,QLD,L/NP,0.35726463718697954
Ryan,QLD,ON,0.021799331828798375
Ryan,QLD,UAPP,0.016053847897428822
Wide Bay,QLD,ALP,0.20806390651016926
Wide Bay,QLD,GRN,0.0986178787042996
Wide Bay,QLD,L/NP,0.3828874383255187
Wide Bay,QLD,ON,0.09960875649944327
Wide Bay,QLD,UAPP,0.04371099057133809
Wright,QLD,ALP,0.19655855805085143
Wright,QLD,GRN,0.09110804286774306
Wright,QLD,L/NP,0.3593695699136822
Wright,QLD,ON,0.11991509106107996
Wright,QLD,UAPP,0.06505302112391632
Adelaide,SA,ALP,0.3656484772144496
Adelaide,SA,GRN,0.18716991317648118
Adelaide,SA,L/NP,0.3011831391425615
Adelaide,SA,ON,0.02287102433757704
Adelaide,SA,UAPP,0.021665392055423095
Barker,SA,ALP,0.2335397897897898
Barker,SA,GRN,0.06660097597597597
Barker,SA,L/NP,0.4789226726726727
Barker,SA,ON,0.06455518018018018
Barker,SA,UAPP,0.034299924924924924
Boothby,SA,ALP,0.3266124757024209
Boothby,SA,GRN,0.16737056016964127
Boothby,SA,L/NP,0.3729104081993285
Boothby,SA,ON,0.020622018024385933
Boothby,SA,UAPP,0.020542498674677504
Grey,SA,ALP,0.27442720445274676
Grey,SA,GRN,0.05865197666882696
Grey,SA,L/NP,0.42549845602531355
